Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"JourneyTask_QuestTask_FK",84C69BE9-CBE4-7B31-9200-F0F4F05C639C,214,,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,Foreign Key,,N,Y,"JourneyTask",N,,,,
"QuestTask_Quest_FK",FB62A634-DCAD-D890-E3F0-489E806DF420,215,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,Foreign Key,,N,Y,"QuestTask",N,,,,
"QuestTaskItem_QuestTask_FK",981111DA-EA8A-470E-8B2A-67A222DC451E,216,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Foreign Key,,N,Y,"QuestTaskItem",N,,,,
"JourneyTask_QuestTaskItem_FK",27B03D72-7990-DD86-EA91-53759E0FCFFF,217,,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,Foreign Key,,N,Y,"JourneyTask",N,,,,
"Journey_User_FK",AFE04624-1AAD-AE11-1D69-5A02AA782D68,218,,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,Foreign Key,,N,Y,"Journey",N,,,,
"UserDetails_User_FK",B5CEEDC3-1FDF-2536-F769-3CF2838943BB,219,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,Foreign Key,,N,Y,"UserDetails",N,,,,
"UserDetails__IDX",F8C2D64D-7792-EA50-B691-A658890B8E58,220,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,Unique Plain Index,,N,Y,"UserDetails",N,,,,
"Quest_World_FK",E557AECF-E6E4-7BC9-59F6-29FB33D5D3BF,221,,741233A4-8E97-8D51-4B28-4098E59EF913,146,Foreign Key,,N,Y,"Quest",N,,,,
"User_inventory_PK",0E50CB2D-6AA2-DA68-D7A1-F83069D94F47,222,,776C13CF-C0E8-B699-FE19-5F038705B320,152,Primary Constraint,,N,Y,"User_inventory",N,,,,
"FK_ASS_17",138FC683-B519-6893-6322-0B77D9C673B4,223,,776C13CF-C0E8-B699-FE19-5F038705B320,152,Foreign Key,,N,Y,"User_inventory",N,,,,
"FK_ASS_18",73E7225D-2F99-AD44-5D95-3D610A656E04,224,,776C13CF-C0E8-B699-FE19-5F038705B320,152,Foreign Key,,N,Y,"User_inventory",N,,,,
"User_inventory",701689F6-8621-4085-E062-1ABC56363642,225,,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,Foreign Key,,N,Y,"UserIntentory",N,,,,
"User_inventoryv1",F2F67AF3-B8D4-ACCF-38A3-0833B7110A36,226,,5D589AEE-D216-4847-85D5-51809CB6B333,149,Foreign Key,,N,Y,"User",N,,,,
"Users__World_PK",DF21B7D1-7AEC-AB04-B0A7-DDF811FE7D35,227,,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,Primary Constraint,,N,Y,"Users__World",N,,,,
"FK_ASS_21",2C08F99B-8C9D-B159-83CD-D88051D378DF,228,,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,Foreign Key,,N,Y,"Users__World",N,,,,
"FK_ASS_22",6B55BCE1-7CCC-E2C2-F01B-D651AD198A8C,229,,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,Foreign Key,,N,Y,"Users__World",N,,,,
"Users__World",3525D2B3-B69B-8765-C87F-1B029C7C3B88,230,,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,Foreign Key,,N,Y,"World",N,,,,
"Users__Worldv1",D86D2333-DCB6-610B-23EB-F3AB5E61EBB7,231,,5D589AEE-D216-4847-85D5-51809CB6B333,149,Foreign Key,,N,Y,"User",N,,,,
